"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Junior","Back-end Developer","Java","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","22.000 - 22.999","2"
"Junior","Full Stack Developer","Java, React","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","18.000 - 18.999","1"
"Middle","Back-end Developer","Java","5 - 7 Yıl","Kadın","Banka","250+","Remote","İstanbul","₺ - Türk Lirası","31.000 - 31.999","2"
"Junior","Back-end Developer","Python","1 - 3 Yıl","Erkek","Startup","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","17.000 - 17.999","1"
"Middle","Front-end Developer","JavaScript | Html | Css, Vue","5 - 7 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","34.000 - 34.999","1"
"Middle","Full Stack Developer",".Net, Python, Angular","1 - 3 Yıl","Erkek","Lojistik","1 - 5 Kişi","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası","15.000 - 15.999","2"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","37.000 - 37.999","2"
"Senior","Back-end Developer",".Net, Php, Go","12 - 14 Yıl","Kadın","Startup","100 - 250 Kişi","Remote","İzmir","€ - Euro","5.000 - 5.999","1"
"Middle","Full Stack Developer","Java, React, Angular","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Hibrit (Ofis + Remote)","* Belçika","€ - Euro","2.000 - 2.999","2"
"Senior","Team / Tech Lead",".Net, NodeJS","10 - 12 Yıl","Erkek","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","60.000 - 60.999","2"
"Junior","QA / Automation","Python","0 - 1 Yıl","Erkek","Startup","1 - 5 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","10.000 - 10.999","2"
"Senior","Project Manager","Php, JavaScript | Html | Css","12 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Junior","Full Stack Developer","Java, React","1 - 3 Yıl","Erkek","Startup","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","22.000 - 22.999","2"
"Senior","Full Stack Developer",".Net, NodeJS, C / C++, JavaScript | Html | Css, React, Vue, React Native","10 - 12 Yıl","Erkek","Oyun","5 - 10 Kişi","Remote","Eskişehir","$ - Dolar","9.000 - 9.999","1"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Kadın","Startup","100 - 250 Kişi","Remote","Kayseri ","₺ - Türk Lirası","19.000 - 19.999","2"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Outsource","100 - 250 Kişi","Remote","İstanbul","$ - Dolar","3.000 - 3.999","1"
"Junior","ERP","TROIA","0 - 1 Yıl","Erkek","ERP","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","1"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","52.000 - 52.999","1"
"Junior","Full Stack Developer","Java, Python, JavaScript | Html | Css","1 - 3 Yıl","Kadın","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","24.000 - 24.999","2"
"Senior","Front-end Developer","JavaScript | Html | Css, React","5 - 7 Yıl","Kadın","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","50.000 - 50.999","1"
"Senior","Back-end Developer","Java, JavaScript | Html | Css, React, Angular","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","* İrlanda","€ - Euro","5.000 - 5.999","1"
"Middle","Back-end Developer","NodeJS, Python, JavaScript | Html | Css, Docker","3 - 5 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","32.000 - 32.999","2"
"Middle","Game Developer","Unity","3 - 5 Yıl","Erkek","Oyun","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","20.000 - 20.999","2"
"Junior","Front-end Developer","Vue","1 - 3 Yıl","Erkek","Banka","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","24.000 - 24.999","1"
"Middle","Back-end Developer","NodeJS, Go","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","44.000 - 44.999","2"
"Middle","Back-end Developer","Python","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Senior","Software Architect","Java, C / C++","15 Yıl ve üzeri","Erkek","Banka","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","51.000 - 51.999","1"
"Senior","Software Development Manager / Engineering Manager","React","12 - 14 Yıl","Erkek","Kurumsal","250+","Şu an remote ama hibrite döneceğiz.","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Senior","Front-end Developer","Php, JavaScript | Html | Css, React Native","5 - 7 Yıl","Erkek","Yazılım Evi & Danışmanlık","1 - 5 Kişi","Remote","Çorum","₺ - Türk Lirası","21.000 - 21.999","1"
"Senior","Full Stack Developer",".Net, Python, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","E-Ticaret","10 - 20 Kişi","Remote","Duzce","₺ - Türk Lirası","34.000 - 34.999","1"
